ID,캐릭터이름,대사,,,
22,간호사,⒭@아^ 안녕하세요.@,최초대사,,
23,노아,§㉡㉧③§@죄송한데 말씀좀 물어도 될까요?@,간호사 최초대사.,,
24,간호사,⒭@바쁘긴한데 잠깐이면 괜찮을거 같아요! 선생님들한테 농땡이 피우는거 들키면 혼나거든요.@,,,
25,노아,§㉡㉧③§@많이 바쁜거 같은데. 무슨 일이라도 있나요?@,,,
26,간호사,⒭@그게 말이죠..~ 실은 요즘 좀 이상하리만치 ⓡ(●2불면증)ⓦ을 호소하는 환자들이 많아졌거든요.@,,,
27,간호사,⒭@거기에 좀 더 상태가 안좋아보이는 분들 중에는 ⓡ(●편집증)ⓦ 증세를 보이는 분들도 계셔서 최근에 엄청 바빠졌어요.@,,,
28,노아,§㉡㉧③§@저는 처음들어보는 일인데 전에도 이런 적이 있었나요?@,,,
29,간호사,⒭@아뇨.. 이렇게 갑자기 환자가 많아진건 한달쯤? 그 정도 된거 같은데요.@,,,
30,간호사,⒭@저는 근데 자세히는 몰라서요^ 아마 자세한건 의사선생님께 여쭤 보시는게 좋을꺼에요.@,,,
31,간호사,⒭@낮 시간대엔 바쁘시니까 아침이나 오후에 오시는게 좋으시구요.@,,,
32,노아,§㉡㉧③§@그렇군요. 감사합니다.@,,,
33,간호사,⒭@조심히 가세요~@,,,
34,간호사,⒭@이러다 저 혼나요~@,반복1,,
35,간호사,⒭@더 여쭤보실게 있으면 아침이나 오후에 방문해 주세요.@,반복2,,
36,의사,⒭@혹시나 낮 시간대에 오셨던 분이라면 죄송했습니다. 요즘에 너무 바빠서요.@,의사 / 저녁 / 대화,,
37,노아,§㉡㉧③§@아뇨 죄송하실거 까지야. 요즘은 사람들이 많이 오나보죠?@,,,
38,의사,⒭@그렇습니다. 최근들어서 ⓡ(●2불면증)ⓦ 과 ⓡ(●편집증)ⓦ이 유행중이라서요 환자들이 많이 늘었죠.@,,,
39,의사,⒭@더 물어보실게 있으시거나 치료가 필요하시다면 말해 주세요.@,,,
40,의사,⒭@어디 아프신 곳이라도 있으신가요?@,의사/ 저녁 / 반복1,,
41,의사,⒭@도움이 필요하신가요?@,의사/저녁 반복2,,
42,의사,⒭@음..ⓡ(불면증)ⓦ에 대해서 말입니까. 사실 저도 이런 증상은 처음 보는 상황입니다@,불면증,,
43,의사,⒭@현재 나타나고있는 ⓡ(●3불면증)ⓦ의 원인이 다른것에 있는게 아니라^ 환자분들이 잠을 자는 것을 두려워 한다는 점이거든요.@,,,
44,의사,⒭@어떤 의미에서는 ⓡ(불면증)ⓦ보다는 수면기피증으로 부르는것이 맞을지도 모르겠습니다.@,,,
45,의사,⒭@두려움의 원인중 하나로 지목되고 있는 ⓡ(악몽)ⓦ에 대해서도 확인중에 있습니다.@,,,
46,의사,⒭@혹시 모르겠습니다. 아직까지 학계에 보고되지 않은 특별한 형태의 집단 히스테리 현상일지도요.@,,,
47,의사,⒭@이 ⓡ(●2편집증)ⓦ은 극단적 수면부족과 두려움^ 그리고 어쩔수 없이 자게 되었을 때 꾸게 되는 ⓡ(악몽)ⓦ의 반복으로 인해 생겨난 것 같습니다.@,편집증,,
48,의사,⒭@즉 ⓡ(불면증)ⓦ이 그 원인인 셈이지요. ⓡ(불면증)ⓦ이 해결된다면 ⓡ(편집증)ⓦ 또한 자연스럽게 해결되리라 봅니다.@,,,
49,의사,⒭@글쎄요. 그런 증상을 호소하는 환자는 없었으니 질병은 아닐거라고 생각합니다. 쓰래기 배출 문제같은 것 아니었을까요.@,비릿한냄새,,
50,의사,⒭@거기에 대해선 드릴 말씀이 없군요.@,그외 키워드.,,
51,간호사,⒭@어서오세요~@,간호사 / 저녁 / 최초대사,,
52,노아,§㉡㉧③§@안녕하십니까. 여쭤볼게 있어서요.@,,,
53,간호사,⒭@지금은 여유로워서 마음껏 수다를 떨어도 된답니다! 뭐든 물어봐주세요.@,,,
54,간호사,⒭@그렇지 않아도 그것 때문에 요즘 너무 바쁘다니까요. 특히나 낮 시간대에는 정신이 나갈 것 같아요..~@,불면증,,
55,간호사,⒭@으으.. 그런 증세를 호소하시는 환자분들은 조금 무서워요. 예민하다고 해야하나...@,편집증,,
56,간호사,⒭@글쎄요... 저는 맡아보지 못한것 같은데요.@,비릿한냄새,,
57,간호사,⒭@그건 잘 모르겠네요~@,그 외 키워드,,
58,간호사,⒭@더 궁금하신 것 있으신가요?@,간호사 / 저녁 / 반복1,,
59,간호사,⒭@혹시나 더 여쭤보실게 있으시면 옆에 선생님께 여쭤봐도 좋아요^ 지금 시간대는 여유로워서 대답해 주실거에요.@,반복2,,
60,,,,,
61,,,,,
62,,,,,
63,,,,,
64,,,,,
65,,,,,
66,,,,,
67,,,,,
68,,,,,
69,,,,,
70,,,,,
71,,,,,
72,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,[@앞으로 3일 뒤 1921년 7월 14일 새벽 3시경^ 태양계 행성들이 일렬로 늘어서게 될 것이다.@],,,
,,[천문학자 브라이언 헤이미치의 이러한 발언으로 인해 아컴 시 시민들의 불안이 커져가고 있습니다.],,,
,,[브라이언 헤이미치는 불안에 떠는 시민들을 향해 이러한 ⓡ(●행성대직렬)ⓦ은 불길함의 징조가 될 수 없는],,,
,,[과학적인 현상일 뿐이라 이어 발언했으나 아직까지 긍정적인 효과를 보지 못하고 있는\n ... ... ...],,,
,노아,§㉡㉧③§@이런 거에 술렁이다니... 다들 여유로운가 보군.@,,,
,노아,§㉡㉧③§@연구비를 뜯어낼 명분으로 쇼를 벌이는게 뻔한데.@,,,
,노아,§㉡㉧⑦§@커피나 마셔야겠어...@◎①,의뢰자등장전,,
,노아,§㉡㉧③§@음?@◎②,,,
,노아,§㉡㉧⑤§@아^ 어서오십시오. 무슨 일로 찾아오셨습니까?@,,,
,???,⒭@의뢰할 일이 있어서 왔어요.@,,,
,노아,§㉡㉧⑤§@앉으시죠^ 커피 어떠신가요@,,,
,???,⒭@아뇨.. 괜찮습니다.@◎③,,,
,엘라 트리스,※㉦@저는 ⓖ(●엘라 트리스)ⓦ라고 해요. 의뢰할 일이 있어 찾아왔어요...@,● 있어야 정보플로팅,,
,엘라 트리스,※㉦@제 남편에 관한건데..@,,,
,노아,§㉡㉧⑦§''또 시덥잖은 불륜사건은 아니라면 좋을텐데.',,,
,노아,§㉡㉧⑦§''그 쪽 일은 항상 뒷맛이 씁쓸하단 말이지...',,,
,엘라 트리스,※㉦⒭@제 남편인 ⓖ(●에이든 트리스)ⓦ는 신문사에서 기자로 일하고 있어요.@,,,
,엘라 트리스,※㉦@그런데 최근들어서 그이의 상태가 이상해졌달까..@,,,
,노아,§㉡㉧⑤§@남편분의 상태가 이상해지셨다구요? 뭐.. 내연관계나 그런것 말입니까?@,,,
,엘라 트리스,※㉦⒭@아니요! 그런게 아니에요. 오히려 그 반대에요.@,,,
,엘라 트리스,※㉦@어느 순간부터 그이가 무기력해지기 시작했어요.  밤바다 비명을 지르며 깨어나고@,,,
,엘라 트리스,※㉦@항상 ⓡ(●악몽)ⓦ에 대해서 중얼거려요... 하지만 물어도 무슨일인지 대답은 없고.@,,,
,노아,§㉡㉧⑤§@ⓡ(악몽)ⓦ이라.. 그 전에는 이런 일이 없었습니까?@,,,
,엘라 트리스,※㉦⒭@네.. 그이는 항상 활달한 성격이었어요. 주체를 못하고 취재를 하다가 다친적이 있을 정도로요.@,,,
,엘라 트리스 ,※㉦@그런데 이제는 출근도 못 할 지경이에요. 편집증적으로 화를 내거든요.@,,,
,노아,§㉡㉧⑤§@음.. 제 주제넘은 의견일 수 있습니다만 부인. 그렇다면 ⓑ(병원)ⓦ에 찾아가 보시는게 좋지 않을까 싶은데 말이죠.@,,,
,노아,§㉡㉧⑤§@의료적인 조언은 제 전문분야가 아닌지라..@,,,
,엘라 트리스,※㉦⒭@당연히 그랬죠. 당연히... 하지만 ⓑ(●병원)ⓦ에서는 아무런 이상이 없다고 했어요.@,,,
,엘라 트리스,※㉦@그저 일 때문에 피곤해서 그런것 아니냐는 반응 뿐이었죠!@,,,
,엘라 트리스,※㉦@그래서 지푸라기라도 잡는 심정으로 찾아와본 거에요. 혹시 뒤에 수상한 일이 있는건 아닐까 해서요..@,,,
,노아,§㉡㉧⑦§@그렇군요. 알겠습니다^ 부인. 확인해 보겠습니다.@,,,
,엘라 트리스,※㉦⒭@정말 고마워요... 여기 선금이에요. 이 일이 해결만 된다면 그 배를 드리겠어요.@,,,
,노아,§㉡㉧①§''통 큰 사람이군',,,
,노아,§㉡㉧⑤§@이거^ 감사합니다. 그리고 괜찮으시다면 집 주소를 알려주시겠습니까?@,,,
,노아,§㉡㉧⑤§@직접 남편분과 이야기해 볼 필요도 있을테니까요.@,,,
,엘라 트리스,※㉦⒭@저희 집은 아캄시 북쪽의 ⓑ(●서 하이드길 11번지)ⓦ에요.@,,,
,노아,§㉡㉧⑤§@아^ 마지막으로 하나 더. 남편분이 일하시는 신문사는 어디죠?@,,,
,엘라 트리스,※㉦⒭@ⓑ(●데일리뉴스 신문사)ⓦ에요 ⓑ(아캄역)ⓦ 근처에 있는.@,,,
,노아,§㉡㉧⑤§@알겠습니다. 그럼 마침 다른일도 없고 하니 바로 조사해 보도록 하죠. 먼저 들어가 계십시오.@,,,
,노아,§㉡㉧⑤§@제가 집에 찾아갈지도 모르니 모쪼록 집에 계셔주셨으면 합니다.@,,,
,엘라 트리스,※㉦⒭@물론이죠.. 그렇지 않아도 남편을 간호하려면 그래야 해요. 그럼 잘부탁 드립니다.@◎④,,,
,노아,§㉡㉧⑦§@..자^ 일 할 시간이군.@◎⑤,,,
,,오늘자로 발간된 신문. 반쯤보고 접어둔 상태이다.,,//신문살펴보기,
,,특별하게 더 볼만한 내용은 없는 것 같다.,,//신문살펴보기실패,
,노아,'읏... 젠장.',,//신문살펴보기대실패,
,,신문을 넘기다가 손가락을 배여버렸다. ,,,
,,신문을 넘겨보자 눈에 들어오는 글귀가 하나 있다.,,//신문살펴보기 성공,
,,[최근들어 아컴시에서 원인불명의 ⓡ(●불면증)ⓦ이 대규모로 유행중이다.],,,
,,[이에따라 환자들이 감당하기 힘들 정도로 병원에 들이닥치고 있어 문제가 되고 있다.], ,,
,,신문을 넘겨보자 눈에 들어오는 글귀가 하나 있다.,,//신문살펴보기대성공,
,,[최근들어 아컴시에서 원인불명의 ⓡ(●불면증)ⓦ이 대규모로 유행중이다.],,,
,,[이에따라 환자들이 감당하기 힘들 정도로 병원에 들이닥치고 있어 문제가 되고 있다.],,,
,노아,'ⓡ(불면증)ⓦ? 그러고 보면 방금 온 의뢰자의 남편도 밤에 잠을 설친다고 했지.',,,
,노아,'어쩌면 그도 이 원인불명의 ⓡ(불면증)ⓦ에 시달리고 있는 걸지도',,,
,노아,'그건 그렇고 낮 시간대에는 굳이 병원에는 찾아가지 않는게 좋겠어.',,,
,멜리사,⒭@새로운 의뢰네요. 이제 출발하시나요?@,,멜리사최초대사,
,노아,§㉡㉧⑤§@그렇지. 늦을수도 있으니까 먼저 퇴근해도 돼.@,,,
,멜리사,⒭@뭐 두고 가신 거라도 있으신가요?@,,멜리사대사1,
,멜리사,⒭@네?@,,멜리사대사2,
,멜리사,⒭@왜그러시죠.@,,멜리사대사3,
,멜리사,⒭@ⓡ(행성대직렬)ⓦ이요? 글쎄요.. 그런것에는 별로 관심이 없어서요.@,,행성대직렬,키워드사용대사들
,멜리사,⒭@ⓡ(악몽)ⓦ이라.. 최근엔 꿈 자체를 꾼적이 없네요.@,,악몽,
,멜리사,⒭@옛날이라면 모르겠지만요. 병원에 가보면 자세한 이야기를 알 수 있지 않을까요?@,,,
,멜리사,⒭@의뢰자분이 많이 당황해 보이시는것 같네요. 오죽하면 여기까지 와보셨겠어요.@,,엘라트리스,
,멜리사,⒭@글쎄요? 자세한건 직접 만나보셔야 어떤 상황인지 알 수 있지 않을까요?@,,에이든트리스,
,멜리사,⒭@특별하게 생각나는건 없네요.@,,병원,
,멜리사,⒭@ⓑ(아캄역)ⓦ이라면 강 북쪽에 있는 신문사겠네요. 꽤나 오래된 곳이었을거에요 아마.@,,신문사,
,멜리사,⒭@서 하이드길 11번지면 미스캐토닉 강 북쪽에 있는 곳이네요. 꽤나 잘 사는 사람인가 봐요.@,,의뢰자의집,
,멜리사,⒭@ⓡ(불면증)ⓦ이 대량으로 발생 했다구요? 그런게 가능한 일일까요...@,,불면증,
,멜리사,"⒭@ⓑ(병원)ⓦ은 낮 시간대까지 바쁘다고 하셨으니, 더 알고싶은게 있다면 저녁 시간대에 찾아가보면 되겠죠.@",,성공,
,판정안내,⒭ⓖ(엘라 트리스)ⓦ는 상당히 초조해 하고 있는 것 처럼 보인다.,,실패,
,판정안내,별다르게 알 수 있었던 것은 없었다.,,,
